XML Data Parsed for 01-Feb-2016Starting at: 1635h
POSIX,lon,lat
1454353345,-79.323036,43.664299
1454353391,-79.323051,43.664383
1454353408,-79.322548,43.66465
1454353428,-79.32222,43.664768
1454353449,-79.322365,43.664982
1454353468,-79.323433,43.664833
1454353492,-79.325233,43.664452
1454353510,-79.32708,43.664051
1454353530,-79.328934,43.663651
1454353547,-79.330063,43.663399
1454353565,-79.330269,43.6633489
1454353588,-79.3321689,43.662884
1454353609,-79.333885,43.662498
1454353630,-79.3357319,43.662083
1454353647,-79.337334,43.661716
1454353672,-79.3380509,43.661568
1454353689,-79.339203,43.661301
1454353711,-79.339867,43.661152
1454353729,-79.340652,43.660984
1454353749,-79.3416979,43.660751
1454353767,-79.342232,43.660648
1454353789,-79.343033,43.660465
1454353811,-79.343681,43.6603319
1454353828,-79.34407,43.660233
1454353850,-79.345314,43.659935
1454353870,-79.346786,43.659599
1454353888,-79.348282,43.659267
1454353908,-79.349167,43.659084
1454353929,-79.349617,43.659
1454353947,-79.349731,43.658966
1454353970,-79.351364,43.658615
1454353990,-79.352684,43.658318
1454354009,-79.354431,43.657917
1454354027,-79.355286,43.657684
1454354048,-79.356651,43.657368
1454354070,-79.358131,43.657051
1454354091,-79.358284,43.657017
1454354108,-79.358765,43.656918
1454354128,-79.360603,43.656532
1454354148,-79.3624339,43.656116
1454354169,-79.3638,43.6558149
1454354189,-79.364319,43.655716
1454354248,-79.365685,43.655449
1454354268,-79.367599,43.655018
1454354287,-79.369064,43.654701
1454354312,-79.369286,43.654652
1454354326,-79.370148,43.654469
1454354348,-79.371635,43.654148
1454354369,-79.3724979,43.65395
1454354390,-79.372765,43.653866
1454354410,-79.373047,43.653782
1454354449,-79.373749,43.653618
1454354467,-79.374619,43.65345
1454354487,-79.375519,43.653267
1454354509,-79.375916,43.653198
1454354527,-79.377251,43.652935
1454354549,-79.377899,43.652802
1454354567,-79.377953,43.652782
1454354587,-79.37867,43.652634
1454354608,-79.379097,43.65255
1454354669,-79.379517,43.652451
1454354687,-79.38118,43.6521
1454354709,-79.3813629,43.652065
1454354752,-79.381531,43.652035
1454354776,-79.383965,43.651516
1454354791,-79.38475,43.651348
1454354811,-79.385414,43.651199
1454354828,-79.385536,43.651184
1454354851,-79.386047,43.651066
1454354868,-79.386284,43.651016
1454354928,-79.386551,43.650967
1454354949,-79.388519,43.650517
1454354968,-79.38945,43.650318
1454355069,-79.389954,43.6504819
1454355090,-79.390266,43.651283
1454355107,-79.39032,43.6516
1454355214,-79.390137,43.6517679
1454358692,-79.326134,44.349201
1454358854,-79.390717,43.650517
1454358875,-79.39093,43.650269
1454358892,-79.391884,43.650349
1454358932,-79.392967,43.650452
1454358952,-79.394318,43.650566
1454358973,-79.393181,43.649384
1454359012,-79.394531,43.649101
1454359032,-79.395981,43.6488
1454359132,-79.397499,43.648483
1454359153,-79.399185,43.6481319
1454359171,-79.399467,43.648102
1454359192,-79.400482,43.647915
1454359213,-79.4010009,43.6477999
1454359231,-79.401604,43.647682
1454359252,-79.403183,43.64735
1454359270,-79.403564,43.647266
1454359329,-79.403687,43.647251
1454359350,-79.40432,43.647118
1454359371,-79.406334,43.646717
1454359392,-79.408119,43.646366
1454359410,-79.409317,43.646118
1454359431,-79.4097139,43.646049
1454359471,-79.410568,43.645882
1454359489,-79.412865,43.645416
1454359513,-79.4131699,43.645351
1454359533,-79.415451,43.644901
1454359553,-79.416,43.6447829
1454359574,-79.416603,43.644684
1454359592,-79.418449,43.6442679
1454359611,-79.4188999,43.644165
1454359632,-79.420731,43.643818
1454359653,-79.422203,43.643517
1454359671,-79.4226149,43.643433
1454359692,-79.4244,43.643066
1454359714,-79.425064,43.642933
1454359730,-79.426834,43.642582
1454359772,-79.42717,43.642532
1454359792,-79.428352,43.6423
1454359851,-79.429214,43.6421319
1454359893,-79.430534,43.64185
1454359911,-79.432114,43.641518
1454359991,-79.434967,43.640934
1454360016,-79.436264,43.640682
1454360070,-79.436363,43.640667
1454360091,-79.436852,43.640568
1454360111,-79.438385,43.6402659
1454360128,-79.440117,43.639915
1454360154,-79.442314,43.639484
1454360171,-79.443298,43.639282
1454360194,-79.443703,43.639198
1454360211,-79.444115,43.639133
1454360229,-79.444252,43.639099
1454360276,-79.444603,43.639034
1454360296,-79.445618,43.638851
1454360355,-79.445786,43.638832
1454360374,-79.446548,43.638683
1454360401,-79.447716,43.638649
1454360436,-79.45108,43.639301
1454360464,-79.454468,43.639732
1454360496,-79.459,43.6395989
1454360530,-79.462799,43.638851
1454360602,-79.467148,43.63765
1454360637,-79.469536,43.637268
1454360724,-79.47065,43.637135
1454360753,-79.47242,43.636383
1454360783,-79.474648,43.63435
1454360814,-79.477051,43.6322819
